id_wikidata	materia
Q177567	Geografía
Q177625	Química
Q177646	Matemática
Q177691	Lengua española
Q177692	Comunicación visual y diseño
Q177819	Historia
Q177854	Literatura
Q1778604	Historia
Q177918	Historia
Q177935	Biología
Q178043	Ciencias del ambiente
Q178048	Ciencias de la computación
Q1780774	Lengua española
Q178192	Física
Q178354	Historia
Q1783714	Lengua española
Q178476	Comunicación y sociedad
Q178540	Comunicación y sociedad
Q178605	Ciencias del ambiente
Q1786087	Química
Q178648	Ciencias de la computación
Q178668	Comunicación y sociedad
Q178694	Biología
Q178697	Química
Q178709	Comunicación y sociedad
Q178733	Física
Q178790	Historia
Q178803	Comunicación y sociedad
Q178890	Lengua española
Q178897	Historia
Q1789540	Comunicación y sociedad
Q178977	Ciencias del ambiente
Q179073	Comunicación y sociedad
Q179080	Lengua española
Q179164	Historia
Q179177	Ciencias del ambiente
Q179217	Biología
Q179230	Lengua española
Q179235	Comunicación y sociedad
Q179250	Historia
Q179380	Química
Q179388	Física
Q179436	Matemática
Q179541	Comunicación y sociedad
Q1796098	Comunicación visual y diseño
Q179635	Ciencias del ambiente
Q179684	Historia
Q179785	Comunicación y sociedad
Q179788	Historia
Q179840	Historia
Q179856	Química
Q179876	Historia
Q17996169	Física
Q179997	Historia
Q18	Geografía
Q180081	Literatura
Q180107	Comunicación y sociedad
Q180184	Ciencias del ambiente
Q180309	Lengua española
Q180388	Comunicación y sociedad
Q180544	Matemática
Q180548	Historia
Q180568	Historia
Q180600	Ciencias del ambiente
Q18081	Literatura
Q18084	Literatura
Q180907	Matemática
Q180927	Comunicación visual y diseño
Q180943	Ciencias de la computación
Q181026	Historia
Q181175	Física
Q181264	Historia
Q181328	Física
Q181365	Física
Q181404	Física
Q181551	Ciencias de la computación
Q181593	Ciencias de la computación
Q181658	Matemática
Q181767	Lengua española
Q181780	Química
Q182003	Matemática
Q182046	Comunicación visual y diseño
Q182062	Historia
Q182076	Comunicación y sociedad
Q182123	Comunicación y sociedad
Q182128	Comunicación y sociedad
Q182270	Ciencias de la computación
Q182274	Historia
Q182353	Biología
Q182527	Química
Q182664	Comunicación visual y diseño
Q182726	Biología
Q182854	Química
Q182865	Historia
Q18288972	Comunicación y sociedad
Q182897	Historia
Q182985	Comunicación y sociedad
Q183	Geografía
Q183039	Comunicación y sociedad
Q183065	Ciencias de la computación
Q183144	Comunicación y sociedad
Q183197	Ciencias de la computación
Q183225	Historia
Q183384	Comunicación y sociedad
Q183427	Ciencias de la computación
Q183725	Historia
Q184	Geografía
Q184183	Historia
Q184226	Comunicación y sociedad
Q184274	Ciencias del ambiente
Q1842924	Comunicación visual y diseño
Q184313	Historia
Q184382	Geografía
Q184395	Ciencias del ambiente
Q184500	Comunicación y sociedad
Q184550	Física
Q184554	Ciencias del ambiente
Q184558	Historia
Q184708	Comunicación y sociedad
Q184725	Historia
Q184754	Ciencias de la computación
Q184793	Ciencias de la computación
Q184876	Física
Q184890	Literatura
Q184928	Historia
Q184932	Lengua española
Q184996	Ciencias del ambiente
Q185077	[NULL]
Q185092	Ciencias de la computación
Q1851928	Comunicación y sociedad
Q185357	Física
Q185359	Matemática
Q185427	Literatura
Q18550	Historia
Q185565	Historia
Q185589	Biología
Q185598	Historia
Q185729	Historia
Q18578423	Historia
Q1858041	Literatura
Q185837	Matemática
Q18590159	Literatura
Q186018	Comunicación visual y diseño
Q186152	Ciencias de la computación
Q186162	Literatura
Q186167	Ciencias del ambiente
Q186202	Comunicación visual y diseño
Q186300	Física
Q186368	Ciencias del ambiente
Q186517	Ciencias del ambiente
Q186748	Comunicación visual y diseño
Q186885	Ciencias de la computación
Q187	Comunicación y sociedad
Q187149	Historia
Q187181	Biología
Q187215	Biología
Q187336	Historia
Q187520	Comunicación y sociedad
Q187650	Historia
Q187742	Historia
Q187819	Lengua española
Q187998	Literatura
Q188063	Historia
Q18817	Historia
